Begin Time - hh:mm:ss.ms,End Time - hh:mm:ss.ms,P1,P2,Time,DQ_P1_Robbie,DQ_P2_Robbie,KT_P1_Scott,KT_P2_Scott,KB_P1_Scott,KB_P2_Scott,MC_P1_Scott,MC_P2_Scott,SQ_P2_Sarah,SQ_P1_Sarah
00:13:07.453,00:13:13.729,,and then that would equal to one hundred five,,,,,SP,,,,,,
00:13:13.988,00:13:16.901,yeah maybe you could probably just put a y equals,,,,,SP,,,,,,,
00:13:17.550,00:13:24.384,,yeah so finally it's our y equals one hundred,,,,,A,,,,,,
00:13:24.614,00:13:27.028,except one thing you forgot to do is,,,,,IF,,,,,,,
00:13:27.028,00:13:31.708,I'm pretty sure the one o five would be a negative because yeah,,,,,SP,,,,,,,
00:13:32.326,00:13:34.910,you know y was a negative so,,,,,SP,,,,,,,
00:13:34.910,00:13:39.809,,all right next up,,,,,,,,,,,
00:13:41.505,00:13:46.324,,all right so same thing here,,,,,SP,,,,,,
00:13:46.903,00:13:47.262,yeah,,,,,CF,,,,,,,
00:13:47.262,00:13:53.987,,so you would want to do minus thirteen on both sides,,,,,SP,,,,,,
00:13:54.705,00:14:06.379,,and that would equal one x equals thirty-one,,,,,SP,,,,,,
00:14:07.456,00:14:15.249,,then thirty-one over three times two over one equals sixty-two,,,,,SP,,,,,,
00:14:15.608,00:14:15.897,yep,,,,,CF,,,,,,,
00:14:18.930,00:14:24.308,,so would it be x equals sixty-two then,,,,,,,,,,CA,
00:14:24.308,00:14:25.555,yeah as you said,,,,,CF,,,,,,,
00:14:26.144,00:14:30.524,because you can't really do you could divide it by one but that would still be a sixty-two,,,,,,,ER,,,,,
00:14:30.524,00:14:39.344,,yeah okay so this is a little bit different because it's like on the other side,,,,,SP,,,,,,
00:14:39.344,00:14:41.479,,but it's still the same so,,,,,SP,,,,,,
00:14:41.689,00:14:42.178,yeah,,,,,CF,,,,,,,
00:14:42.178,00:14:52.594,,add sixteen to both sides so then you I'm just going to flip this around so three,,,,,SP,,,,,,
00:14:54.180,00:14:59.957,,actually I'm just going to go six over three equals,,,,,SP,,,,,,
00:14:59.957,00:15:05.285,,my gosh it's not even showing up,,,,,,,,,,,
00:15:06.193,00:15:06.881,it's not,,,,,,,,,,,,
00:15:07.400,00:15:08.308,,wait one second,,,,,,,,,,,
00:15:09.166,00:15:10.872,,this tip like lagging,,,,,,,,,,,
00:15:11.800,00:15:12.249,okay,,,,,,,,,,,,
00:15:14.315,00:15:18.315,,forty-seven over pause filler,,,,,SP,,,,,,
00:15:19.642,00:15:22.875,,so then oh gosh what's six times forty-seven,,,,,,,,,,,
00:15:22.875,00:15:25.599,pause filler well one thing you could do let's see wait (inaudible),,,,,SP,,,,,,,
00:15:25.599,00:15:35.965,I guess before you do that you maybe you could simplify pause filler the sixty over three to like two,,,,,SP,,,,,,,
00:15:36.534,00:15:37.412,that might help you,,,,,,,,,,,,
00:15:37.442,00:15:48.956,,oh yeah so three over one so forty-seven time two equals pause filler fifty-four right,,,,,,,,,,CA,
00:15:50.422,00:16:00.559,well not times two forty-seven would be eighty but mostly fourteen ninety-four because it wouldn't,,,,,IF,,,,,,,
00:16:00.559,00:16:07.324,,yeah so ninety-four and then pause filler,,,,,SP,,,,,,
00:16:07.324,00:16:11.505,,that would be over that would just be ninety-four,,,,,SP,,,,,,
00:16:11.505,00:16:13.620,,so x equals ninety-four,,,,,A,,,,,,
00:16:18.379,00:16:20.275,,I haven't done the reciprocal for a long time,,,,,,,,,,,
00:16:20.275,00:16:23.527,,so that's why I'm just,,,,,,,,,,,
00:16:24.894,00:16:25.533,it is fun,,,,,,,,,,,,
00:16:25.533,00:16:27.249,,so big numbers now,,,,,,,,,,,
00:16:27.339,00:16:28.496,,minus,,,,,SP,,,,,,
00:16:30.691,00:16:31.010,yeah,,,,,,,,,,,,
00:16:31.429,00:16:32.607,,forty-eight so,,,,,SP,,,,,,
00:16:32.607,00:16:43.003,yeah so you want to subtract,,,,,SP,,,,,,,
00:16:43.003,00:16:46.754,,would that be forty-nine,,,,,,,,,,CA,
00:16:47.173,00:16:47.642,yeah,,,,,CF,,,,,,,
00:16:47.642,00:16:48.680,,all right,,,,,,,,,,,
00:16:51.204,00:17:00.942,,all right so so that would be five over twelve there,,,,,SP,,,,,,
00:17:00.942,00:17:01.860,yeah,,,,,CF,,,,,,,
00:17:02.229,00:17:04.823,,here I'm just going to,,,,,,,,,,,
00:17:13.493,00:17:14.082,yeah okay,,,,,,,,,,,,
00:17:14.082,00:17:16.507,and that would be a y right (inaudible),,,,,SP,,,,,,,CA
00:17:16.507,00:17:22.512,,all right so forty-nine times five,,,,,SP,,,,,,
00:17:22.512,00:17:25.067,,I wish there was a calculator gosh,,,,,,,,,,,
00:17:25.166,00:17:25.786,I know,,,,,,,,,,,,
00:17:26.853,00:17:37.579,,so nine times five equals pause filler forty-five sorry forty-five,,,,,SP,,,,,,
00:17:38.946,00:17:39.415,forty-five,,,,,SP,,,,,,,
00:17:39.415,00:17:42.617,and that equals to a hundred well,,,,,SP,,,,,,,
00:17:44.354,00:17:46.249,,one hundred sixty-five,,,,,SP,,,,,,
00:17:47.297,00:17:48.833,no wait that wait,,,,,IF,,,,,,,
00:17:49.023,00:17:50.909,forty-five does a hundred and forty-five,,,,,SP,,,,,,,OSQ
00:17:51.048,00:17:56.376,because forty times five equals two hundred so,,,,,SP,,,,,,,
00:17:56.376,00:18:03.450,,are you sure it's not a hundred sixty-five,,,,,,,,,,CA,
00:18:03.450,00:18:04.987,wait maybe,,,,,,,,,,,,
00:18:04.987,00:18:08.120,oh wait yeah it's forty-nine,,,,,SP,,,,,,,
00:18:08.479,00:18:13.208,yeah forty-nine times five equals five okay,,,,,SP,,,,,,,
00:18:14.545,00:18:18.346,that's like okay so that's your five right pause filler,,,,,,,,,,,,CA
00:18:19.164,00:18:20.681,so you have four over pause filler,,,,,SP,,,,,,,
00:18:22.088,00:18:30.239,then as you go like that because you have to have zero there,,,,,,,ER,,,,,
00:18:30.239,00:18:31.746,and that's yeah,,,,,,,,,,,,
00:18:31.746,00:18:39.867,so it would be two hundred forty-five and pause filler five (inaudible),,,,,SP,,,,,,,
00:18:39.867,00:18:42.102,,all right next page,,,,,,,,,,,
00:18:42.531,00:18:44.008,,oh gosh all right,,,,,,,,,,,
00:18:44.098,00:18:50.334,,so this one is going to be plus sixty-one to both sides,,,,,SP,,,,,,
00:18:50.543,00:18:50.703,yup,,,,,CF,,,,,,,
00:18:50.703,00:18:57.018,,and then you also want to add the two ys y thing right,,,,,,,,,,CA,
00:18:57.168,00:18:58.425,,because that's like (inaudible),,,,,,,,,,,
